OMEL - Mercado de electricidad;Fecha Emisión :01/01/2009 - 10:33;;02/01/2009;Precio del mercado diario (cent/kWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (Cent/kWh);  5,369;  4,800;  4,583;  4,351;  4,200;  4,367;  4,645;  4,998;  5,200;  5,259;  5,293;  5,300;  5,296;  5,302;  5,250;  5,100;  5,220;  5,495;  7,226;  7,226;  6,300;  5,800;  5,655;  5,400;
Precio marginal en el sistema portugués (Cent/kWh);  5,369;  4,800;  4,583;  4,351;  4,344;  4,367;  4,645;  4,998;  5,200;  5,259;  5,293;  5,300;  5,296;  5,302;  5,250;  5,100;  5,220;  5,495;  5,766;  6,089;  6,210;  5,800;  5,655;  5,400;
Energía total de compra sistema español (MWh);  19902,5;  17510,3;  16798,6;  16042,6;  15650,2;  15782,5;  16354,3;  17083,9;  19288,0;  21150,0;  23350,3;  23864,8;  23522,7;  24056,0;  23373,3;  22458,2;  22631,7;  24028,5;  27114,1;  28055,9;  27688,9;  27221,3;  26972,2;  25474,3;
Energía total de venta sistema español (MWh);  20006,4;  18791,6;  18148,0;  17470,8;  17150,2;  17067,8;  17258,4;  17624,6;  19466,1;  20894,4;  22965,5;  23721,3;  23604,4;  24094,2;  23954,0;  23084,2;  23179,1;  23359,6;  26314,1;  27255,9;  26888,9;  26847,3;  26849,8;  25382,9;
Energía total de compra sistema portugués (MWh);   5409,6;   4793,8;   4393,9;   4089,2;   3979,8;   4000,3;   4015,1;   4020,3;   3900,1;   4102,9;   4580,4;   4960,5;   5113,4;   5176,0;   5004,0;   4946,0;   4927,4;   5014,2;   5694,2;   6382,3;   6416,3;   6244,6;   5963,4;   5772,7;
Energía total de venta sistema portugués (MWh);   5305,7;   3512,5;   3044,5;   2661,0;   2479,8;   2715,0;   3111,0;   3479,6;   3722,0;   4358,5;   4965,2;   5104,0;   5031,7;   5137,8;   4423,3;   4320,0;   4380,0;   5683,1;   6494,2;   7182,3;   7216,3;   6618,6;   6085,8;   5864,1;
Energía total del mercado Ibérico (MWh);  25312,1;  22304,1;  21192,5;  20131,8;  19630,0;  19782,8;  20369,4;  21104,2;  23188,1;  25252,9;  27930,7;  28825,3;  28636,1;  29232,0;  28377,3;  27404,2;  27559,1;  29042,7;  32808,3;  34438,2;  34105,2;  33465,9;  32935,6;  31247,0;
Importación de España desde Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;    255,6;    384,8;    143,5;      0,0;      0,0;      0,0;      0,0;      0,0;    668,9;    800,0;    800,0;    800,0;    374,0;    122,4;     91,4;
Exportación de España a Portugal (MWh);    103,9;   1281,3;   1349,4;   1428,2;   1500,0;   1285,3;    904,1;    540,7;    178,1;      0,0;      0,0;      0,0;     81,7;     38,2;    580,7;    626,0;    547,4;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
