OMIE - Mercado de electricidad;Fecha Emisión :13/01/2015 - 12:58;;01/01/2009;Precio del mercado intradiario (cent/kWh) - Sesión - Nº 2;;;;

;22;23;24;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (Cent/kWh);;;;  5,501;  5,300;  4,300;  4,350;  3,990;  4,000;  4,264;  4,297;  4,048;  3,867;  4,200;  4,350;  4,481;  4,653;  4,900;  4,300;  4,208;  5,000;  5,900;  6,400;  6,400;  6,456;  6,550;  6,380;
Precio marginal en el sistema portugués (Cent/kWh);;;;  5,501;  5,300;  4,300;  4,350;  3,990;  4,000;  4,264;  4,297;  4,048;  3,867;  4,200;  4,350;  4,481;  4,653;  4,900;  4,300;  4,208;  5,000;  5,900;  6,400;  6,400;  6,456;  6,550;  6,380;
Energía total de compra en el sistema español (MWh);;;;  530,4;  660,1;  357,6;  434,0;  215,7;   90,5;  169,7;  182,0;  194,4;  195,1;  176,2;  303,9;  183,6;  147,8;  131,9;  210,0;  192,4;  161,8;  112,1;  113,3;  187,1;  183,8;   89,5;   86,1;
Energía total de venta en el sistema español (MWh);;;;  530,4;  660,1;  357,6;  434,0;  215,7;   90,5;  169,7;  182,0;  194,4;  195,1;  176,2;  303,9;  210,4;  147,8;  131,9;  210,0;  192,4;  161,8;  156,6;  113,3;  187,1;  221,7;  143,0;  161,3;
Energía total de compra en el sistema portugués (MWh);;;;  590,0;  277,9;  315,6;  414,6;  572,1;  590,0;  590,0;  590,0;  590,0;  657,0;  720,6;  462,0;  307,0;  286,0;  198,0;  164,0;  193,1;    0,0;   53,5;  240,9;  735,0;  983,5;  999,1; 1020,8;
Energía total de venta en el sistema portugués (MWh);;;;  590,0;  277,9;  315,6;  414,6;  572,1;  590,0;  590,0;  590,0;  590,0;  657,0;  720,6;  462,0;  280,2;  286,0;  198,0;  164,0;  193,1;    0,0;    9,0;  240,9;  735,0;  945,6;  945,6;  945,6;
Energía total del mercado ibérico MWh);;;; 1120,4;  938,0;  673,2;  848,6;  787,8;  680,5;  759,7;  772,0;  784,4;  852,1;  896,8;  765,9;  490,6;  433,8;  329,9;  374,0;  385,5;  161,8;  165,6;  354,2;  922,1; 1167,3; 1088,6; 1106,9;
Importación de España desde Portugal (MWh);;;;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;
Exportación de España a Portugal (MWh);;;;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;    0,0;   26,8;    0,0;    0,0;    0,0;    0,0;    0,0;   44,5;    0,0;    0,0;   37,9;   53,5;   75,2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
