OMIE - Mercado de electricidad;Fecha Emisión :16/10/2020 - 13:32;;17/10/2020;Precio del mercado diario (EUR/MWh);;;;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
Precio marginal en el sistema español (EUR/MWh);  45,00;  40,73;  40,40;  40,40;  38,38;  36,91;  37,35;  43,25;  46,22;  47,00;  45,92;  43,53;  42,00;  38,80;  36,10;  36,10;  37,68;  43,50;  46,75;  50,46;  48,45;  46,78;  42,68;  42,39;
Precio marginal en el sistema portugués (EUR/MWh);  45,00;  40,73;  40,40;  40,40;  38,38;  36,91;  37,35;  43,25;  46,22;  47,00;  45,92;  43,53;  42,00;  38,80;  36,10;  36,10;  37,68;  43,50;  45,65;  50,46;  48,45;  46,78;  42,68;  42,39;
Energía total de compra sistema español (MWh);  15991,5;  15243,3;  14799,5;  14344,2;  14202,7;  14015,9;  13761,2;  14155,9;  14761,7;  16496,2;  18240,1;  19371,8;  19980,5;  20728,5;  20250,3;  18986,4;  17812,4;  17142,5;  16337,2;  16129,2;  18391,1;  18291,6;  16726,3;  15393,9;
Energía total de venta sistema español (MWh);  11762,8;  11013,2;  10814,2;  10749,8;  10711,7;  10816,9;  11344,5;  12312,6;  14452,9;  16707,6;  17860,9;  19081,8;  19437,4;  19344,9;  19128,5;  18816,0;  18219,5;  17718,3;  16857,2;  15809,9;  14360,5;  13094,2;  11974,5;  11155,2;
Energía total de compra sistema portugués (MWh);   5250,0;   4889,3;   4627,2;   4445,3;   4356,0;   4301,3;   4332,9;   4402,1;   4495,4;   4799,7;   5095,3;   5216,3;   5413,6;   5461,7;   5274,6;   5146,1;   5045,9;   4997,4;   5030,8;   5222,4;   5967,0;   5892,2;   5511,2;   5145,5;
Energía total de venta sistema portugués (MWh);   7135,5;   6118,3;   5514,5;   4976,7;   4784,0;   4647,0;   4836,2;   6604,2;   7114,9;   7501,3;   7433,6;   7048,1;   7023,8;   6170,4;   5724,3;   5663,8;   5821,5;   6951,8;   7100,8;   8002,4;   7995,9;   7806,6;   7410,6;   7176,2;
Energía total del mercado Ibérico (MWh);  21241,5;  20132,6;  19426,7;  18789,5;  18558,7;  18317,2;  18094,1;  18558,0;  19257,1;  21295,9;  23335,4;  24588,1;  25394,1;  26190,2;  25524,9;  24132,5;  22858,3;  22139,9;  21368,0;  21351,6;  24358,1;  24183,8;  22237,5;  20539,4;
Energía total con bilaterales del mercado Ibérico (MWh);  28748,2;  27262,1;  26047,6;  25233,5;  25040,2;  24861,7;  24988,7;  25915,4;  26899,3;  29218,7;  30996,0;  31687,5;  32329,7;  32976,6;  32249,1;  30500,9;  29207,4;  28533,6;  28426,9;  29533,1;  32995,2;  32724,6;  30193,8;  28047,3;
Importación de España desde Portugal (MWh);   1885,5;   1229,0;    887,3;    531,4;    428,0;    345,7;    503,3;   2202,1;   2619,5;   2701,6;   2338,3;   1831,8;   1610,2;    708,7;    449,7;    517,7;    775,6;   1954,4;   2070,0;   2780,0;   2028,9;   1914,4;   1899,4;   2030,7;
Exportación de España a Portugal (MWh);      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;      0,0;
;;;;;;;;;;;;;;;;;;;;;;;;;
